Previous,Current,DayofWeek,King County Metro,Sound Transit,Community Transit,Pierce Transit,Spokane Transit,C-TRAN,Kitsap Transit (Excludes Fast Foot Ferry),Fast Foot Ferry (Kitsap Transit),Intercity Transit,Everett Transit,Whatcom Transit,Average
3/3/2019,3/1/2020,Sunday,-46%,,12%,-2%,11%,5%,,,-8%,-14%,4%,-5%
3/4/2019,3/2/2020,Monday,-7%,-8%,-5%,-11%,-2%,-4%,4%,19%,-9%,-21%,-8%,-5%
3/5/2019,3/3/2020,Tuesday,-8%,-14%,-1%,-7%,2%,5%,1%,20%,1%,-1%,-1%,0%
3/6/2019,3/4/2020,Wednesday,-10%,-20%,1%,6%,-2%,10%,0%,19%,4%,-4%,-3%,0%
3/7/2019,3/5/2020,Thursday,-16%,-27%,-4%,-3%,-3%,3%,6%,180%,0%,-4%,-1%,12%
3/8/2019,3/6/2020,Friday,-25%,-32%,-16%,-4%,-7%,-3%,-9%,-13%,-3%,-18%,-7%,-12%
3/9/2019,3/7/2020,Saturday,-59%,,2%,-20%,-5%,-8%,6%,,2%,-26%,-2%,-12%
3/10/2019,3/8/2020,Sunday,-55%,,7%,-14%,2%,3%,,,-11%,-17%,7%,-10%
3/11/2019,3/9/2020,Monday,-31%,-48%,-24%,-9%,-6%,-2%,-10%,-16%,-2%,-21%,-6%,-16%
3/12/2019,3/10/2020,Tuesday,-34%,-48%,-27%,-10%,-1%,0%,-16%,-23%,-2%,-19%,-8%,-17%
3/13/2019,3/11/2020,Wednesday,-37%,-50%,-28%,-16%,-7%,-3%,-13%,63%,-2%,-22%,-38%,-14%
3/14/2019,3/12/2020,Thursday,-45%,-50%,-33%,-13%,-11%,-7%,-17%,-3%,-10%,-28%,-41%,-23%
3/15/2019,3/13/2020,Friday,-48%,-60%,-36%,-28%,-18%,-21%,-22%,-44%,-24%,-34%,-48%,-35%
3/16/2019,3/14/2020,Saturday,-67%,,-16%,-22%,-31%,-37%,-23%,,-6%,-24%,-39%,-29%
3/17/2019,3/15/2020,Sunday,-65%,,-6%,-18%,-27%,-22%,,,-24%,-29%,-36%,-28%
3/18/2019,3/16/2020,Monday,-55%,-67%,-45%,-36%,-29%,-34%,-33%,-59%,-31%,-34%,-60%,-44%
3/19/2019,3/17/2020,Tuesday,-60%,-69%,-49%,-44%,-48%,-39%,-41%,-64%,-37%,-45%,-64%,-51%
3/20/2019,3/18/2020,Wednesday,-62%,-69%,-52%,-45%,-53%,-44%,-49%,-63%,-40%,-45%,-67%,-54%
3/21/2019,3/19/2020,Thursday,-63%,-75%,-52%,-47%,-53%,-44%,-59%,-69%,-45%,-49%,-64%,-56%
3/22/2019,3/20/2020,Friday,-62%,-75%,-48%,-42%,-50%,-46%,-60%,-67%,-45%,-40%,-60%,-54%
3/23/2019,3/21/2020,Saturday,-74%,,-26%,-37%,-48%,-38%,-55%,,-37%,-50%,-53%,-46%
3/24/2019,3/22/2020,Sunday,-73%,,-27%,-39%,-43%,-40%,,,-43%,-45%,-50%,-45%
3/25/2019,3/23/2020,Monday,-65%,-80%,-58%,-50%,-56%,-52%,-80%,-73%,-53%,-70%,-63%,-64%
3/26/2019,3/24/2020,Tuesday,-70%,-84%,-63%,-55%,-62%,-59%,-83%,-76%,-56%,-73%,-68%,-68%
3/27/2019,3/25/2020,Wednesday,-71%,-84%,-63%,-53%,-67%,-56%,-83%,-77%,-57%,-70%,-68%,-68%
3/28/2019,3/26/2020,Thursday,-72%,-84%,-65%,-56%,-68%,-56%,-84%,-80%,-62%,-71%,-70%,-70%
3/29/2019,3/27/2020,Friday,-71%,-85%,-65%,-52%,-64%,-55%,-89%,-83%,-59%,-70%,-67%,-69%
3/30/2019,3/28/2020,Saturday,-78%,-80%,-44%,-48%,-52%,-47%,-83%,,-48%,-69%,-69%,-62%
3/31/2019,3/29/2020,Sunday,-77%,-77%,-39%,-55%,-61%,-45%,,,-47%,,-69%,-59%
4/1/2019,3/30/2020,Monday,-74%,-84%,-70%,-66%,-70%,-56%,-81%,-79%,-63%,-79%,-79%,-73%
4/2/2019,3/31/2020,Tuesday,-74%,-85%,-72%,-61%,-73%,-52%,-84%,-82%,-64%,-79%,-87%,-74%
4/3/2019,4/1/2020,Wednesday,-73%,-85%,-71%,-57%,-68%,-51%,-80%,-73%,-60%,-73%,-82%,-70%
4/4/2019,4/2/2020,Thursday,-75%,-86%,-73%,-61%,-69%,-53%,-85%,-74%,-65%,-79%,-85%,-73%
4/5/2019,4/3/2020,Friday,-71%,-85%,-67%,-53%,-55%,-45%,-83%,-73%,-63%,-66%,-83%,-68%
4/6/2019,4/4/2020,Saturday,-88%,,-36%,-47%,-48%,-40%,-65%,,-50%,-59%,-80%,-57%
4/7/2019,4/5/2020,Sunday,-75%,,-35%,-82%,-52%,-29%,,,-51%,,-77%,-57%
4/8/2019,4/6/2020,Monday,-72%,-86%,-71%,-67%,-69%,-57%,-84%,-78%,-66%,-73%,-86%,-74%
4/9/2019,4/7/2020,Tuesday,-74%,-87%,-71%,-69%,-69%,-56%,-86%,-73%,-69%,-76%,-85%,-74%
4/10/2019,4/8/2020,Wednesday,-73%,-86%,-70%,-68%,-70%,-54%,-85%,-73%,-70%,-73%,-86%,-73%
4/11/2019,4/9/2020,Thursday,-73%,-87%,-71%,-68%,-70%,-55%,-84%,-73%,-72%,-75%,-86%,-74%
4/12/2019,4/10/2020,Friday,-72%,-87%,-68%,-72%,-66%,-56%,-84%,-74%,-68%,-75%,-85%,-73%
4/13/2019,4/11/2020,Saturday,-78%,,-33%,-54%,-48%,-40%,-65%,,-73%,-64%,-81%,-60%
4/14/2019,4/12/2020,Sunday,-77%,,-28%,-43%,-55%,-41%,,,-81%,,-80%,-58%
4/15/2019,4/13/2020,Monday,-74%,-86%,-71%,-69%,-68%,-55%,-81%,-74%,-98%,-74%,-85%,-76%
4/16/2019,4/14/2020,Tuesday,-75%,-87%,-73%,-69%,-70%,-56%,-79%,-72%,-98%,-74%,-87%,-76%
4/17/2019,4/15/2020,Wednesday,-75%,-87%,-72%,-69%,-70%,-56%,-76%,-74%,-97%,-76%,-85%,-76%
4/18/2019,4/16/2020,Thursday,-74%,-87%,-72%,-69%,-68%,-58%,-74%,-74%,-97%,-73%,-84%,-75%
4/19/2019,4/17/2020,Friday,-72%,-87%,-66%,-67%,-64%,-53%,-72%,-72%,-97%,-71%,-83%,-73%
4/20/2019,4/18/2020,Saturday,-81%,,-43%,-59%,-47%,-51%,-57%,,-97%,-66%,-82%,-65%
4/21/2019,4/19/2020,Sunday,-75%,,-25%,-40%,-37%,-29%,,,-98%,,-67%,-53%
4/22/2019,4/20/2020,Monday,-74%,-88%,-70%,-65%,-65%,-56%,-73%,-71%,-97%,-71%,-86%,-74%
4/23/2019,4/21/2020,Tuesday,-77%,-87%,-71%,-70%,-68%,-57%,-76%,-75%,-97%,-75%,-87%,-76%
4/24/2019,4/22/2020,Wednesday,-78%,-88%,-73%,-72%,-69%,-60%,-77%,-70%,-97%,-78%,-86%,-77%
4/25/2019,4/23/2020,Thursday,-76%,-86%,-72%,-70%,-69%,-58%,-76%,-74%,-97%,-76%,-84%,-76%
4/26/2019,4/24/2020,Friday,-74%,-87%,-66%,-68%,-65%,-58%,-74%,-68%,-97%,-71%,-84%,-74%
4/27/2019,4/25/2020,Saturday,-80%,,-39%,-56%,-49%,-45%,-58%,,-97%,-62%,-85%,-63%
4/28/2019,4/26/2020,Sunday,-78%,,-26%,-49%,-44%,-40%,,,-98%,,-73%,-58%
4/29/2019,4/27/2020,Monday,-75%,-86%,-70%,-68%,-66%,-57%,-74%,-72%,-97%,-72%,-85%,-75%
4/30/2019,4/28/2020,Tuesday,-77%,-87%,-72%,-70%,-67%,-54%,-75%,-72%,-97%,-72%,-86%,-75%
5/1/2019,4/29/2020,Wednesday,-75%,-86%,-70%,-70%,-68%,-58%,-71%,-72%,-97%,-72%,-84%,-75%
5/2/2019,4/30/2020,Thursday,-75%,-87%,-70%,-70%,-66%,-55%,-73%,-66%,-97%,-75%,-84%,-74%
5/3/2019,5/1/2020,Friday,-72%,-87%,-65%,-67%,-60%,-53%,-70%,-70%,-96%,-67%,-80%,-72%
5/4/2019,5/2/2020,Saturday,-81%,,-46%,-61%,-47%,-50%,-67%,-100%,-97%,-64%,-78%,-69%
5/5/2019,5/3/2020,Sunday,-77%,,-34%,-50%,-74%,-37%,,,-98%,,-69%,-63%
5/6/2019,5/4/2020,Monday,-74%,-88%,-71%,-66%,-59%,-54%,-72%,-69%,-97%,-69%,-83%,-73%
5/7/2019,5/5/2020,Tuesday,-75%,-87%,-69%,-69%,-64%,-54%,-73%,-69%,-97%,-70%,-85%,-74%
5/8/2019,5/6/2020,Wednesday,-75%,-87%,-71%,-69%,-68%,-58%,-73%,-68%,-96%,-72%,-84%,-75%
5/9/2019,5/7/2020,Thursday,-74%,-87%,-70%,-67%,-63%,-57%,-74%,-61%,-97%,-74%,-83%,-73%
5/10/2019,5/8/2020,Friday,-72%,-87%,-64%,-67%,-61%,-54%,-70%,-67%,-97%,-70%,-82%,-72%
5/11/2019,5/9/2020,Saturday,-59%,,-35%,-53%,-42%,-38%,-51%,-100%,-97%,-57%,-77%,-61%
5/12/2019,5/10/2020,Sunday,-51%,,-18%,-43%,-37%,-36%,,,-98%,,-69%,-50%
5/13/2019,5/11/2020,Monday,-74%,-87%,-68%,-69%,-61%,-59%,-71%,-67%,-97%,-70%,-84%,-73%
5/14/2019,5/12/2020,Tuesday,-74%,-87%,-68%,-67%,-64%,-54%,-73%,-68%,-97%,-68%,-85%,-73%
5/15/2019,5/13/2020,Wednesday,-74%,-87%,-67%,-68%,-61%,-55%,-73%,-67%,-97%,-68%,-83%,-73%
5/16/2019,5/14/2020,Thursday,-74%,-86%,-69%,-65%,-59%,-53%,-73%,-68%,-97%,-72%,-82%,-73%
5/17/2019,5/15/2020,Friday,-71%,-87%,-63%,-65%,-52%,-53%,-70%,-66%,-96%,-62%,-81%,-70%
5/18/2019,5/16/2020,Saturday,-63%,,-42%,-60%,-36%,-43%,-62%,-100%,-97%,-58%,-80%,-64%
5/19/2019,5/17/2020,Sunday,-54%,,-28%,-40%,-37%,-37%,,,-98%,,-72%,-52%
5/20/2019,5/18/2020,Monday,-72%,-86%,-67%,-65%,-61%,-58%,-70%,-66%,-97%,-65%,-82%,-72%
5/21/2019,5/19/2020,Tuesday,-73%,-87%,-67%,-68%,-61%,-54%,-70%,-65%,-97%,-68%,-84%,-72%
5/22/2019,5/20/2020,Wednesday,-74%,-86%,-68%,-69%,-66%,-54%,-72%,-65%,-96%,-68%,-84%,-73%
5/23/2019,5/21/2020,Thursday,-75%,-86%,-69%,-68%,-61%,-56%,-72%,-62%,-96%,-71%,-82%,-73%
5/24/2019,5/22/2020,Friday,-70%,-86%,-62%,-62%,-54%,-51%,-66%,-68%,-96%,-63%,-80%,-69%
5/25/2019,5/23/2020,Saturday,-54%,,-30%,-47%,-32%,-35%,-35%,-100%,-96%,-49%,-69%,-55%
5/26/2019,5/24/2020,Sunday,-57%,,-23%,-38%,-23%,-38%,,,-98%,,-80%,-51%
5/27/2019,5/25/2020,Monday,-59%,-91%,-34%,-39%,-26%,-33%,,,-98%,-54%,,-54%
5/28/2019,5/26/2020,Tuesday,-73%,-86%,-66%,-62%,-57%,-52%,-69%,-65%,-97%,-66%,-80%,-70%
5/29/2019,5/27/2020,Wednesday,-73%,,-66%,-62%,-57%,-52%,-69%,-64%,-96%,-65%,-82%,-69%
5/30/2019,5/28/2020,Thursday,-73%,,-66%,,-55%,-51%,-70%,-64%,-96%,-65%,-82%,-69%
5/31/2019,5/29/2020,Friday,-72%,,-63%,,-56%,-52%,,,-96%,-61%,-81%,-69%
6/1/2019,5/30/2020,Saturday,-63%,,-46%,,-53%,-50%,,,-97%,-63%,-80%,-65%
6/2/2019,5/31/2020,Sunday,-56%,,-25%,,-52%,-35%,,,-98%,,-74%,-57%
