Day of Date 2020,Transit Agency,Avg. PercentNorm%,Sum of Agency Order ID
"Wed, 06/03/20",Average,-66%,12
"Tue, 06/02/20",Average,-71%,12
"Mon, 06/01/20",Average,-68%,12
"Sun, 05/31/20",Average,-52%,12
"Sat, 05/30/20",Average,-66%,12
"Fri, 05/29/20",Average,-67%,12
"Thu, 05/28/20",Average,-69%,12
"Wed, 05/27/20",Average,-69%,12
"Tue, 05/26/20",Average,-70%,12
"Mon, 05/25/20",Average,-54%,12
"Sun, 05/24/20",Average,-51%,12
"Sat, 05/23/20",Average,-55%,12
"Fri, 05/22/20",Average,-69%,12
"Thu, 05/21/20",Average,-73%,12
"Wed, 05/20/20",Average,-73%,12
"Tue, 05/19/20",Average,-72%,12
"Mon, 05/18/20",Average,-72%,12
"Sun, 05/17/20",Average,-52%,12
"Sat, 05/16/20",Average,-64%,12
"Fri, 05/15/20",Average,-70%,12
"Thu, 05/14/20",Average,-73%,12
"Wed, 05/13/20",Average,-73%,12
"Tue, 05/12/20",Average,-73%,12
"Mon, 05/11/20",Average,-73%,12
"Sun, 05/10/20",Average,-50%,12
"Sat, 05/09/20",Average,-61%,12
"Fri, 05/08/20",Average,-72%,12
"Thu, 05/07/20",Average,-73%,12
"Wed, 05/06/20",Average,-75%,12
"Tue, 05/05/20",Average,-74%,12
"Mon, 05/04/20",Average,-73%,12
"Sun, 05/03/20",Average,-63%,12
"Sat, 05/02/20",Average,-69%,12
"Fri, 05/01/20",Average,-72%,12
"Thu, 04/30/20",Average,-74%,12
"Wed, 04/29/20",Average,-75%,12
"Tue, 04/28/20",Average,-75%,12
"Mon, 04/27/20",Average,-75%,12
"Sun, 04/26/20",Average,-58%,12
"Sat, 04/25/20",Average,-63%,12
"Fri, 04/24/20",Average,-74%,12
"Thu, 04/23/20",Average,-76%,12
"Wed, 04/22/20",Average,-77%,12
"Tue, 04/21/20",Average,-76%,12
"Mon, 04/20/20",Average,-74%,12
"Sun, 04/19/20",Average,-53%,12
"Sat, 04/18/20",Average,-65%,12
"Fri, 04/17/20",Average,-73%,12
"Thu, 04/16/20",Average,-75%,12
"Wed, 04/15/20",Average,-76%,12
"Tue, 04/14/20",Average,-76%,12
"Mon, 04/13/20",Average,-76%,12
"Sun, 04/12/20",Average,-58%,12
"Sat, 04/11/20",Average,-60%,12
"Fri, 04/10/20",Average,-73%,12
"Thu, 04/09/20",Average,-74%,12
"Wed, 04/08/20",Average,-73%,12
"Tue, 04/07/20",Average,-74%,12
"Mon, 04/06/20",Average,-74%,12
"Sun, 04/05/20",Average,-57%,12
"Sat, 04/04/20",Average,-57%,12
"Fri, 04/03/20",Average,-68%,12
"Thu, 04/02/20",Average,-73%,12
"Wed, 04/01/20",Average,-70%,12
"Tue, 03/31/20",Average,-74%,12
"Mon, 03/30/20",Average,-73%,12
"Sun, 03/29/20",Average,-59%,12
"Sat, 03/28/20",Average,-62%,12
"Fri, 03/27/20",Average,-69%,12
"Thu, 03/26/20",Average,-70%,12
"Wed, 03/25/20",Average,-68%,12
"Tue, 03/24/20",Average,-68%,12
"Mon, 03/23/20",Average,-64%,12
"Sun, 03/22/20",Average,-45%,12
"Sat, 03/21/20",Average,-46%,12
"Fri, 03/20/20",Average,-54%,12
"Thu, 03/19/20",Average,-56%,12
"Wed, 03/18/20",Average,-54%,12
"Tue, 03/17/20",Average,-51%,12
"Mon, 03/16/20",Average,-44%,12
"Sun, 03/15/20",Average,-28%,12
"Sat, 03/14/20",Average,-29%,12
"Fri, 03/13/20",Average,-35%,12
"Thu, 03/12/20",Average,-23%,12
"Wed, 03/11/20",Average,-14%,12
"Tue, 03/10/20",Average,-17%,12
"Mon, 03/09/20",Average,-16%,12
"Sun, 03/08/20",Average,-10%,12
"Sat, 03/07/20",Average,-12%,12
"Fri, 03/06/20",Average,-12%,12
"Thu, 03/05/20",Average,12%,12
"Wed, 03/04/20",Average,0%,12
"Tue, 03/03/20",Average,0%,12
"Mon, 03/02/20",Average,-5%,12
"Sun, 03/01/20",Average,-5%,12
"Wed, 06/03/20",Whatcom Transit,,11
"Tue, 06/02/20",Whatcom Transit,-89%,11
"Mon, 06/01/20",Whatcom Transit,-80%,11
"Sun, 05/31/20",Whatcom Transit,-69%,11
"Sat, 05/30/20",Whatcom Transit,-80%,11
"Fri, 05/29/20",Whatcom Transit,-81%,11
"Thu, 05/28/20",Whatcom Transit,-82%,11
"Wed, 05/27/20",Whatcom Transit,-82%,11
"Tue, 05/26/20",Whatcom Transit,-80%,11
"Mon, 05/25/20",Whatcom Transit,,11
"Sun, 05/24/20",Whatcom Transit,-80%,11
"Sat, 05/23/20",Whatcom Transit,-69%,11
"Fri, 05/22/20",Whatcom Transit,-80%,11
"Thu, 05/21/20",Whatcom Transit,-82%,11
"Wed, 05/20/20",Whatcom Transit,-84%,11
"Tue, 05/19/20",Whatcom Transit,-84%,11
"Mon, 05/18/20",Whatcom Transit,-82%,11
"Sun, 05/17/20",Whatcom Transit,-72%,11
"Sat, 05/16/20",Whatcom Transit,-80%,11
"Fri, 05/15/20",Whatcom Transit,-81%,11
"Thu, 05/14/20",Whatcom Transit,-82%,11
"Wed, 05/13/20",Whatcom Transit,-83%,11
"Tue, 05/12/20",Whatcom Transit,-85%,11
"Mon, 05/11/20",Whatcom Transit,-84%,11
"Sun, 05/10/20",Whatcom Transit,-69%,11
"Sat, 05/09/20",Whatcom Transit,-77%,11
"Fri, 05/08/20",Whatcom Transit,-82%,11
"Thu, 05/07/20",Whatcom Transit,-83%,11
"Wed, 05/06/20",Whatcom Transit,-84%,11
"Tue, 05/05/20",Whatcom Transit,-85%,11
"Mon, 05/04/20",Whatcom Transit,-83%,11
"Sun, 05/03/20",Whatcom Transit,-69%,11
"Sat, 05/02/20",Whatcom Transit,-78%,11
"Fri, 05/01/20",Whatcom Transit,-80%,11
"Thu, 04/30/20",Whatcom Transit,-84%,11
"Wed, 04/29/20",Whatcom Transit,-84%,11
"Tue, 04/28/20",Whatcom Transit,-86%,11
"Mon, 04/27/20",Whatcom Transit,-85%,11
"Sun, 04/26/20",Whatcom Transit,-73%,11
"Sat, 04/25/20",Whatcom Transit,-85%,11
"Fri, 04/24/20",Whatcom Transit,-84%,11
"Thu, 04/23/20",Whatcom Transit,-84%,11
"Wed, 04/22/20",Whatcom Transit,-86%,11
"Tue, 04/21/20",Whatcom Transit,-87%,11
"Mon, 04/20/20",Whatcom Transit,-86%,11
"Sun, 04/19/20",Whatcom Transit,-67%,11
"Sat, 04/18/20",Whatcom Transit,-82%,11
"Fri, 04/17/20",Whatcom Transit,-83%,11
"Thu, 04/16/20",Whatcom Transit,-84%,11
"Wed, 04/15/20",Whatcom Transit,-85%,11
"Tue, 04/14/20",Whatcom Transit,-87%,11
"Mon, 04/13/20",Whatcom Transit,-85%,11
"Sun, 04/12/20",Whatcom Transit,-80%,11
"Sat, 04/11/20",Whatcom Transit,-81%,11
"Fri, 04/10/20",Whatcom Transit,-85%,11
"Thu, 04/09/20",Whatcom Transit,-86%,11
"Wed, 04/08/20",Whatcom Transit,-86%,11
"Tue, 04/07/20",Whatcom Transit,-85%,11
"Mon, 04/06/20",Whatcom Transit,-86%,11
"Sun, 04/05/20",Whatcom Transit,-77%,11
"Sat, 04/04/20",Whatcom Transit,-80%,11
"Fri, 04/03/20",Whatcom Transit,-83%,11
"Thu, 04/02/20",Whatcom Transit,-85%,11
"Wed, 04/01/20",Whatcom Transit,-82%,11
"Tue, 03/31/20",Whatcom Transit,-87%,11
"Mon, 03/30/20",Whatcom Transit,-79%,11
"Sun, 03/29/20",Whatcom Transit,-69%,11
"Sat, 03/28/20",Whatcom Transit,-69%,11
"Fri, 03/27/20",Whatcom Transit,-67%,11
"Thu, 03/26/20",Whatcom Transit,-70%,11
"Wed, 03/25/20",Whatcom Transit,-68%,11
"Tue, 03/24/20",Whatcom Transit,-68%,11
"Mon, 03/23/20",Whatcom Transit,-63%,11
"Sun, 03/22/20",Whatcom Transit,-50%,11
"Sat, 03/21/20",Whatcom Transit,-53%,11
"Fri, 03/20/20",Whatcom Transit,-60%,11
"Thu, 03/19/20",Whatcom Transit,-64%,11
"Wed, 03/18/20",Whatcom Transit,-67%,11
"Tue, 03/17/20",Whatcom Transit,-64%,11
"Mon, 03/16/20",Whatcom Transit,-60%,11
"Sun, 03/15/20",Whatcom Transit,-36%,11
"Sat, 03/14/20",Whatcom Transit,-39%,11
"Fri, 03/13/20",Whatcom Transit,-48%,11
"Thu, 03/12/20",Whatcom Transit,-41%,11
"Wed, 03/11/20",Whatcom Transit,-38%,11
"Tue, 03/10/20",Whatcom Transit,-8%,11
"Mon, 03/09/20",Whatcom Transit,-6%,11
"Sun, 03/08/20",Whatcom Transit,7%,11
"Sat, 03/07/20",Whatcom Transit,-2%,11
"Fri, 03/06/20",Whatcom Transit,-7%,11
"Thu, 03/05/20",Whatcom Transit,-1%,11
"Wed, 03/04/20",Whatcom Transit,-3%,11
"Tue, 03/03/20",Whatcom Transit,-1%,11
"Mon, 03/02/20",Whatcom Transit,-8%,11
"Sun, 03/01/20",Whatcom Transit,4%,11
"Wed, 06/03/20",Everett Transit,-60%,10
"Tue, 06/02/20",Everett Transit,-67%,10
"Mon, 06/01/20",Everett Transit,-64%,10
"Sun, 05/31/20",Everett Transit,,10
"Sat, 05/30/20",Everett Transit,-63%,10
"Fri, 05/29/20",Everett Transit,-61%,10
"Thu, 05/28/20",Everett Transit,-65%,10
"Wed, 05/27/20",Everett Transit,-65%,10
"Tue, 05/26/20",Everett Transit,-66%,10
"Mon, 05/25/20",Everett Transit,-54%,10
"Sun, 05/24/20",Everett Transit,,10
"Sat, 05/23/20",Everett Transit,-49%,10
"Fri, 05/22/20",Everett Transit,-63%,10
"Thu, 05/21/20",Everett Transit,-71%,10
"Wed, 05/20/20",Everett Transit,-68%,10
"Tue, 05/19/20",Everett Transit,-68%,10
"Mon, 05/18/20",Everett Transit,-65%,10
"Sun, 05/17/20",Everett Transit,,10
"Sat, 05/16/20",Everett Transit,-58%,10
"Fri, 05/15/20",Everett Transit,-62%,10
"Thu, 05/14/20",Everett Transit,-72%,10
"Wed, 05/13/20",Everett Transit,-68%,10
"Tue, 05/12/20",Everett Transit,-68%,10
"Mon, 05/11/20",Everett Transit,-70%,10
"Sun, 05/10/20",Everett Transit,,10
"Sat, 05/09/20",Everett Transit,-57%,10
"Fri, 05/08/20",Everett Transit,-70%,10
"Thu, 05/07/20",Everett Transit,-74%,10
"Wed, 05/06/20",Everett Transit,-72%,10
"Tue, 05/05/20",Everett Transit,-70%,10
"Mon, 05/04/20",Everett Transit,-69%,10
"Sun, 05/03/20",Everett Transit,,10
"Sat, 05/02/20",Everett Transit,-64%,10
"Fri, 05/01/20",Everett Transit,-67%,10
"Thu, 04/30/20",Everett Transit,-75%,10
"Wed, 04/29/20",Everett Transit,-72%,10
"Tue, 04/28/20",Everett Transit,-72%,10
"Mon, 04/27/20",Everett Transit,-72%,10
"Sun, 04/26/20",Everett Transit,,10
"Sat, 04/25/20",Everett Transit,-62%,10
"Fri, 04/24/20",Everett Transit,-71%,10
"Thu, 04/23/20",Everett Transit,-76%,10
"Wed, 04/22/20",Everett Transit,-78%,10
"Tue, 04/21/20",Everett Transit,-75%,10
"Mon, 04/20/20",Everett Transit,-71%,10
"Sun, 04/19/20",Everett Transit,,10
"Sat, 04/18/20",Everett Transit,-66%,10
"Fri, 04/17/20",Everett Transit,-71%,10
"Thu, 04/16/20",Everett Transit,-73%,10
"Wed, 04/15/20",Everett Transit,-76%,10
"Tue, 04/14/20",Everett Transit,-74%,10
"Mon, 04/13/20",Everett Transit,-74%,10
"Sun, 04/12/20",Everett Transit,,10
"Sat, 04/11/20",Everett Transit,-64%,10
"Fri, 04/10/20",Everett Transit,-75%,10
"Thu, 04/09/20",Everett Transit,-75%,10
"Wed, 04/08/20",Everett Transit,-73%,10
"Tue, 04/07/20",Everett Transit,-76%,10
"Mon, 04/06/20",Everett Transit,-73%,10
"Sun, 04/05/20",Everett Transit,,10
"Sat, 04/04/20",Everett Transit,-59%,10
"Fri, 04/03/20",Everett Transit,-66%,10
"Thu, 04/02/20",Everett Transit,-79%,10
"Wed, 04/01/20",Everett Transit,-73%,10
"Tue, 03/31/20",Everett Transit,-79%,10
"Mon, 03/30/20",Everett Transit,-79%,10
"Sun, 03/29/20",Everett Transit,,10
"Sat, 03/28/20",Everett Transit,-69%,10
"Fri, 03/27/20",Everett Transit,-70%,10
"Thu, 03/26/20",Everett Transit,-71%,10
"Wed, 03/25/20",Everett Transit,-70%,10
"Tue, 03/24/20",Everett Transit,-73%,10
"Mon, 03/23/20",Everett Transit,-70%,10
"Sun, 03/22/20",Everett Transit,-45%,10
"Sat, 03/21/20",Everett Transit,-50%,10
"Fri, 03/20/20",Everett Transit,-40%,10
"Thu, 03/19/20",Everett Transit,-49%,10
"Wed, 03/18/20",Everett Transit,-45%,10
"Tue, 03/17/20",Everett Transit,-45%,10
"Mon, 03/16/20",Everett Transit,-34%,10
"Sun, 03/15/20",Everett Transit,-29%,10
"Sat, 03/14/20",Everett Transit,-24%,10
"Fri, 03/13/20",Everett Transit,-34%,10
"Thu, 03/12/20",Everett Transit,-28%,10
"Wed, 03/11/20",Everett Transit,-22%,10
"Tue, 03/10/20",Everett Transit,-19%,10
"Mon, 03/09/20",Everett Transit,-21%,10
"Sun, 03/08/20",Everett Transit,-17%,10
"Sat, 03/07/20",Everett Transit,-26%,10
"Fri, 03/06/20",Everett Transit,-18%,10
"Thu, 03/05/20",Everett Transit,-4%,10
"Wed, 03/04/20",Everett Transit,-4%,10
"Tue, 03/03/20",Everett Transit,-1%,10
"Mon, 03/02/20",Everett Transit,-21%,10
"Sun, 03/01/20",Everett Transit,-14%,10
"Wed, 06/03/20",Intercity Transit,-96%,9
"Tue, 06/02/20",Intercity Transit,-97%,9
"Mon, 06/01/20",Intercity Transit,-97%,9
"Sun, 05/31/20",Intercity Transit,-98%,9
"Sat, 05/30/20",Intercity Transit,-97%,9
"Fri, 05/29/20",Intercity Transit,-96%,9
"Thu, 05/28/20",Intercity Transit,-96%,9
"Wed, 05/27/20",Intercity Transit,-96%,9
"Tue, 05/26/20",Intercity Transit,-97%,9
"Mon, 05/25/20",Intercity Transit,-98%,9
"Sun, 05/24/20",Intercity Transit,-98%,9
"Sat, 05/23/20",Intercity Transit,-96%,9
"Fri, 05/22/20",Intercity Transit,-96%,9
"Thu, 05/21/20",Intercity Transit,-96%,9
"Wed, 05/20/20",Intercity Transit,-96%,9
"Tue, 05/19/20",Intercity Transit,-97%,9
"Mon, 05/18/20",Intercity Transit,-97%,9
"Sun, 05/17/20",Intercity Transit,-98%,9
"Sat, 05/16/20",Intercity Transit,-97%,9
"Fri, 05/15/20",Intercity Transit,-96%,9
"Thu, 05/14/20",Intercity Transit,-97%,9
"Wed, 05/13/20",Intercity Transit,-97%,9
"Tue, 05/12/20",Intercity Transit,-97%,9
"Mon, 05/11/20",Intercity Transit,-97%,9
"Sun, 05/10/20",Intercity Transit,-98%,9
"Sat, 05/09/20",Intercity Transit,-97%,9
"Fri, 05/08/20",Intercity Transit,-97%,9
"Thu, 05/07/20",Intercity Transit,-97%,9
"Wed, 05/06/20",Intercity Transit,-96%,9
"Tue, 05/05/20",Intercity Transit,-97%,9
"Mon, 05/04/20",Intercity Transit,-97%,9
"Sun, 05/03/20",Intercity Transit,-98%,9
"Sat, 05/02/20",Intercity Transit,-97%,9
"Fri, 05/01/20",Intercity Transit,-96%,9
"Thu, 04/30/20",Intercity Transit,-97%,9
"Wed, 04/29/20",Intercity Transit,-97%,9
"Tue, 04/28/20",Intercity Transit,-97%,9
"Mon, 04/27/20",Intercity Transit,-97%,9
"Sun, 04/26/20",Intercity Transit,-98%,9
"Sat, 04/25/20",Intercity Transit,-97%,9
"Fri, 04/24/20",Intercity Transit,-97%,9
"Thu, 04/23/20",Intercity Transit,-97%,9
"Wed, 04/22/20",Intercity Transit,-97%,9
"Tue, 04/21/20",Intercity Transit,-97%,9
"Mon, 04/20/20",Intercity Transit,-97%,9
"Sun, 04/19/20",Intercity Transit,-98%,9
"Sat, 04/18/20",Intercity Transit,-97%,9
"Fri, 04/17/20",Intercity Transit,-97%,9
"Thu, 04/16/20",Intercity Transit,-97%,9
"Wed, 04/15/20",Intercity Transit,-97%,9
"Tue, 04/14/20",Intercity Transit,-98%,9
"Mon, 04/13/20",Intercity Transit,-98%,9
"Sun, 04/12/20",Intercity Transit,-81%,9
"Sat, 04/11/20",Intercity Transit,-73%,9
"Fri, 04/10/20",Intercity Transit,-68%,9
"Thu, 04/09/20",Intercity Transit,-72%,9
"Wed, 04/08/20",Intercity Transit,-70%,9
"Tue, 04/07/20",Intercity Transit,-69%,9
"Mon, 04/06/20",Intercity Transit,-66%,9
"Sun, 04/05/20",Intercity Transit,-51%,9
"Sat, 04/04/20",Intercity Transit,-50%,9
"Fri, 04/03/20",Intercity Transit,-63%,9
"Thu, 04/02/20",Intercity Transit,-65%,9
"Wed, 04/01/20",Intercity Transit,-60%,9
"Tue, 03/31/20",Intercity Transit,-64%,9
"Mon, 03/30/20",Intercity Transit,-63%,9
"Sun, 03/29/20",Intercity Transit,-47%,9
"Sat, 03/28/20",Intercity Transit,-48%,9
"Fri, 03/27/20",Intercity Transit,-59%,9
"Thu, 03/26/20",Intercity Transit,-62%,9
"Wed, 03/25/20",Intercity Transit,-57%,9
"Tue, 03/24/20",Intercity Transit,-56%,9
"Mon, 03/23/20",Intercity Transit,-53%,9
"Sun, 03/22/20",Intercity Transit,-43%,9
"Sat, 03/21/20",Intercity Transit,-37%,9
"Fri, 03/20/20",Intercity Transit,-45%,9
"Thu, 03/19/20",Intercity Transit,-45%,9
"Wed, 03/18/20",Intercity Transit,-40%,9
"Tue, 03/17/20",Intercity Transit,-37%,9
"Mon, 03/16/20",Intercity Transit,-31%,9
"Sun, 03/15/20",Intercity Transit,-24%,9
"Sat, 03/14/20",Intercity Transit,-6%,9
"Fri, 03/13/20",Intercity Transit,-24%,9
"Thu, 03/12/20",Intercity Transit,-10%,9
"Wed, 03/11/20",Intercity Transit,-2%,9
"Tue, 03/10/20",Intercity Transit,-2%,9
"Mon, 03/09/20",Intercity Transit,-2%,9
"Sun, 03/08/20",Intercity Transit,-11%,9
"Sat, 03/07/20",Intercity Transit,2%,9
"Fri, 03/06/20",Intercity Transit,-3%,9
"Thu, 03/05/20",Intercity Transit,0%,9
"Wed, 03/04/20",Intercity Transit,4%,9
"Tue, 03/03/20",Intercity Transit,1%,9
"Mon, 03/02/20",Intercity Transit,-9%,9
"Sun, 03/01/20",Intercity Transit,-8%,9
"Wed, 06/03/20",Kitsap Transit - Fast Foot Ferry only,-67%,8
"Tue, 06/02/20",Kitsap Transit - Fast Foot Ferry only,-69%,8
"Mon, 06/01/20",Kitsap Transit - Fast Foot Ferry only,-69%,8
"Sun, 05/31/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 05/30/20",Kitsap Transit - Fast Foot Ferry only,-100%,8
"Fri, 05/29/20",Kitsap Transit - Fast Foot Ferry only,-63%,8
"Thu, 05/28/20",Kitsap Transit - Fast Foot Ferry only,-64%,8
"Wed, 05/27/20",Kitsap Transit - Fast Foot Ferry only,-64%,8
"Tue, 05/26/20",Kitsap Transit - Fast Foot Ferry only,-65%,8
"Mon, 05/25/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sun, 05/24/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 05/23/20",Kitsap Transit - Fast Foot Ferry only,-100%,8
"Fri, 05/22/20",Kitsap Transit - Fast Foot Ferry only,-68%,8
"Thu, 05/21/20",Kitsap Transit - Fast Foot Ferry only,-62%,8
"Wed, 05/20/20",Kitsap Transit - Fast Foot Ferry only,-65%,8
"Tue, 05/19/20",Kitsap Transit - Fast Foot Ferry only,-65%,8
"Mon, 05/18/20",Kitsap Transit - Fast Foot Ferry only,-66%,8
"Sun, 05/17/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 05/16/20",Kitsap Transit - Fast Foot Ferry only,-100%,8
"Fri, 05/15/20",Kitsap Transit - Fast Foot Ferry only,-66%,8
"Thu, 05/14/20",Kitsap Transit - Fast Foot Ferry only,-68%,8
"Wed, 05/13/20",Kitsap Transit - Fast Foot Ferry only,-67%,8
